Structure URN,ID,Name EN,Name UK,Description EN,Description UK,ID_orig,ID_orig_without_sek,Details,Included Items,Excluded Items,parent
SSSU:CL_NACE_R2_UA(1.1.3),A,"Сільське господарство, мисливство, лісове господарство",,,,A,A,,"<em>Ця секція включає</em> вирощування рослинних і тваринних природних ресурсів. Вона включає діяльність з рослинництва, тваринництва, лісівництва, лісозаготівлі, заготівлі лісових дикорослих продуктів і продукції розведення, мисливства чи відлову тварин у природному середовищі. <br></br>  <br></br>","<i>Ця секція не включає діяльність з вирощування, вилову (секція B) та переробки риби та рибопродуктів (секція D).

</i>",
SSSU:CL_NACE_R2_UA(1.1.3),B,"Рибальство, рибництво",,,,B,B,,"<em>Ця секція включає:</em> діяльність у сфері рибальства, яка пов'язана з використанням рибних запасів у морському середовищі та прісних водах з метою вилову риби чи збирання ракоподібних, молюсків та інших морських продуктів (перлів, губок тощо). <br></br>  <br></br>  <em>Ця секція включає також</em> рибництво – діяльність з розведення риби, водних тварин і рослин. Вона включає види діяльності, які, зазвичай, входять до складу процесу самостійного виробництва (наприклад, щеплення перлинних устриць). <br></br>  <br></br>","<i>Ця секція не включає:

будування та ремонт суден (див. 35.11)   
рибальство як вид спорту чи дозвілля (див. 92.72)  
діяльність суден або набережних рибозаводів, які займаються виключно переробленням та консервуванням риби та морепродуктів (див. 15.20 “Перероблення та консервування риби та рибної продукції”). Проте, перероблення риби на борту рибальських суден також відноситься до секції B. 

</i>",
SSSU:CL_NACE_R2_UA(1.1.3),C,Добувна промисловість,,,,C,C,,"<em>Ця секція включає</em> добування корисних копалин у вигляді твердих порід (вугілля, руда та мінерали), в рідкому (нафта) та газоподібному стані (природний газ). Добування може здійснюватися підземним та відкритим способами розроблення родовищ або шляхом експлуатації свердловин. <br></br>  <br></br>  <em>Ця секція включає також</em> додаткові процеси, які здійснюються з метою підготовки сировини до реалізації: подрібнення, сортування, осушення, очищення, збагачення та агломерація вугілля і руд, зневоднення та знесолення нафти, зрідження природного газу. <br></br> Добування корисних копалин класифікують за основними видами корисних копалин. <br></br> Підсекція <a>CA</a> включає добування енергоносіїв ( <span>кам'яного</span> вугілля, <span>бурого вугілля</span> і торфу, вуглеводнів, уранової руди). <br></br> Підсекція <a>CB</a> включає добування неенергетичних мінералів (металевих руд, різних мінералів та продукції кар'єрів). <br></br> Деякі технічні операції цієї секції, зокрема щодо добування вуглеводнів, можуть виконуватися на користь третіх осіб спеціалізованими організаціями як промислові послуги. <br></br>  <br></br>","<i>Ця секція не включає:

перероблення видобутих речовин (див. секцію D)  
розлив по пляшках природних та мінеральних вод з джерел та свердловин (див. 15.98)  
подрібнення та інші види оброблення деяких мінеральних неметалевих речовин, що не пов'язані з підземним або відкритим добуванням корисних копалин (див. 26.81, 26.82)  
виробництво паливного газу на газопереробних заводах (див. 40.21)  
збирання, очищення та розподілення води (див. 41)  
розвідувальне буріння свердловин (див. 45.12)  
проведення геологорозвідувальних робіт (див. 74.20.2) 

</i>",
SSSU:CL_NACE_R2_UA(1.1.3),D,Переробна промисловість,,,,D,D,"Перероблення – технологічний процес, здійснення якого змінює форму, властивості або склад сировини, напівфабрикатів або готової продукції з метою отримання нової продукції. <br></br> Нова продукція є результатом перероблення сировини, виробленої сільським, лісовим чи рибним господарством, галузями добувної промисловості, а також продукції інших видів переробної діяльності (напівфабрикатів). Нова продукція може бути як готовою для використання та споживання, так і напівфабрикатом, призначеним для іншого виробництва. Наприклад, продукція глиноземного заводу є базовим матеріалом, що використовується в первинному виробництві алюмінію; первинний алюміній є основною сировиною для заводу, що виготовляє алюмінієвий дріт; а алюмінієвий дріт є основною сировиною для виготовлення промислових виробів з цього дроту. <br></br> До переробної промисловості відноситься не тільки діяльність підприємств, що випускають серійну продукцію, а й діяльність індивідуальних виробників, що виготовляють продукцію вручну або вдома. <br></br>  <br></br>","<em>Ця секція включає також</em> підприємства, які виготовляють продукцію (одяг, взуття, меблі тощо) за індивідуальним замовленням населення. <br></br> Підприємства безпосередньо переробляють матеріали або можуть передавати їх перероблення на субпідряд іншим підприємствам. Діяльність підприємств обох типів відноситься до переробної промисловості. <br></br> Монтаж (складання) та установлення машин і устатковання на підприємствах класифікують в тих позиціях секції <a>D</a> , до яких відноситься виробництво цих машин і устатковання. Винятком є установлення або монтаж будівельних елементів та устатковання, необхідних для експлуатації будівлі як такої, що класифікують у секції <a>F</a> “Будівництво”. Крім того, складання, установлення машин і устатковання, яке здійснюється як послуга, що супроводить його продаж, є допоміжним видом діяльності, який класифікують разом з відповідною основною діяльністю (секція <a>G</a> “Торгівля; ремонт автомобілів, побутових виробів та предметів особистого вжитку”). <br></br> Ремонт та технічне обслуговування машин і устатковання, зазвичай, відносяться до того самого виду діяльності, що й їх виробництво за винятком: <ul>
підприємств, які здійснюють ремонт або технічне обслуговування автомобілів та мотоциклів ( відносяться до групи 50.2 чи 50.4);  
підприємств, які ремонтують предмети особистого вжитку та побутові вироби (відносяться до групи 52.7);  
підприємств, які здійснюють ремонт або технічне обслуговування систем центрального опалення (відносяться до класу 45.33);  
підприємств, які здійснюють ремонт або технічне обслуговування обчислювальної техніки та офісного обладнання (відносяться до групи 72.5).  
</ul> Суттєва зміна, відновлення та реконструкція продукції, зазвичай, вважаються переробною діяльністю. <br></br> Виготовлення спеціалізованих компонентів і деталей, приладдя та кріплення для машин й устатковання, відноситься, зазвичай, до того самого класу, що й виробництво машин і устатковання, для яких призначені деталі та приладдя. <br></br> Виготовлення неспеціалізованих компонентів і деталей машин і устатковання, таких як двигуни, поршні, генератори, електричні з'єднання, клапани, зубчасті колеса, підшипники, відноситься до відповідного класу промислової діяльності, незалежно від машин і устатковання, до яких ці елементи можуть бути прилаштовані. <br></br> Межі між переробною промисловістю та іншими видами діяльності класифікації можуть бути недостатньо явними. <br></br> Переробна промисловість є виробництвом нового виду продукції. Проте визначення того, що є новим видом продукції може бути досить суб'єктивним. Так, до переробної галузі відносяться такі види діяльності: <ul>
пастеризація та розлив молока у пляшки  
перероблення свіжої риби (розкриття устриць, нарізання рибного філе)  
типографська діяльність та допоміжні види діяльності  
виробництво бетону, готового до застосування для різних користувачів (за винятком його виробництва будівельними організаціями для власних потреб безпосередньо на будівельному майданчику)  
оброблення деревини (послуги з просочування лісоматеріалів та хімічного оброблення різними способами з метою їх зберігання)  
оброблення електролітичне, плакування, гаряче оброблення та полірування металів  
виготовлення дорожніх знаків і рекламних щитів  
реконструкція або переобладнання машин та устатковання   
ремонт і відновлення суден  
наварювання протекторів шин  
</ul> З іншого боку, не класифікують як переробні такі види діяльності: <ul>
лісозаготівля віднесена до секції A “Сільське господарство, мисливство, лісове господарство”  
збагачення та агломерація корисних копалин та інших мінеральних речовин, віднесені до секції C “Добувна промисловість”  
встановлення та монтаж конструкцій, будівельних елементів та устатковання, що виконуються на будівельному об'єкті, віднесені до секції F “Будівництво”  
діяльність з подрібнення та перерозподілу на менші партії, включаючи фасування, перефасування та розлив у пляшки напоїв чи продукції хімічної промисловості; комплектацію та модернізацію комп'ютерів на замовлення, що здійснюється як допоміжна послуга при їх продажі; розрублення на частини закуплених у забійній вазі м'ясних туш, включаючи відруби, з яких видалені всі кістки у торгівельній мережі, що здійснюється як допоміжна послуга при їх продажі; закупівля, охолодження та теплове оброблення молока для подальшої реалізації на молокопереробні підприємства; сортування відходів; змішування фарб на замовлення; розрізання металу на замовлення, віднесені до секції G “Торгівля; ремонт автомобілів, побутових виробів та предметів особистого вжитку”. 
</ul>",,
SSSU:CL_NACE_R2_UA(1.1.3),E,"Виробництво та розподілення електроенергії, газу та води",,,,E,E,,"<em>Ця секція включає</em> виробництво та розподілення електричної енергії, газу та води засобами постійної інфраструктури (лініями електропередач, мережами кабелів, труб і трубопроводів). Розмір мережі не є визначальним для класифікації одиниць. Розподілення електроенергії, газу, пари та води може здійснюватись як на промислові об'єкти, так і для цілей житлового господарства. <br></br> Виробництво, управління інфраструктурою та розподілення кінцевим споживачам можуть здійснюватися як однією одиницею, так і різними одиницями. Одиниці, що здійснюють розподілення не одного, а двох чи більше видів продукції (наприклад, електроенергії та газу чи води одночасно), класифікують за основним видом діяльності. <br></br>  <br></br>",,
SSSU:CL_NACE_R2_UA(1.1.3),F,Будівництво,,,,F,F,,"<em>Ця секція включає</em> підготовчі роботи до будівництва, загальне та спеціалізоване будівництво будівель та споруд, монтаж будівельних конструкцій, роботи з облаштування будинків, роботи з завершення будівництва та оренду будівельної техніки з оператором. Секція включає нове будівництво, ремонт, розширення, реконструкцію будівель та інженерних споруд, монтаж збірних будинків або конструкцій на об'єкті, а також будівництво тимчасових об'єктів. <br></br> Загальне будівництво включає зведення закінчених будівель та споруд: житлових, адміністративних, громадських будинків, будівель спеціального призначення, сільськогосподарських будівель тощо, зведення шляхів, автострад, мостів, тунелів, залізниць, аеродромів, портів та інших морських та річкових об'єктів, іригаційних систем, санітарних систем, промислових об'єктів, трубопроводів, ліній електропередачі тощо. Ці роботи можуть виконуватися як для власних потреб, так і для третіх осіб. <br></br> Частина або практично всі роботи можуть передаватися на субпідряд. <br></br> Спеціалізоване будівництво включає зведення частин будівель чи інженерних споруд або підготовку до цих робіт. <br></br> Йдеться, зазвичай, про спеціалізовану в одному напрямку діяльність, яка є загальною для різних видів будинків та споруд і вимагає спеціальної кваліфікації та устатковання. Секція включає такі види робіт, як забивання паль, будівництво фундаментів, буріння свердловин для води, такі роботи, як бетонування, мурування, мостіння, монтаж риштовань, покрівельні роботи тощо. <br></br> Монтаж металевих конструкцій включається в секцію, якщо елементи конструкції невласного виробництва. Спеціалізовані будівельні роботи, зазвичай, виконуються субпідрядниками. <br></br> Роботи з облаштування будинків включають установлення різного роду зручностей, щоб надати будівлі функціональності. Такі роботи виконуються, зазвичай, на будівельному об'єкті, хоча деяка частина цих робіт може виконуватися в цехах. Сюди включаються сантехнічні роботи, установлення систем опалення та кондиціонування повітря, антен, систем сигналізації та інших електричних систем, систем автоматичного гасіння пожеж, ліфтів і механічних сходів тощо. <br></br>  <br></br>  <em>Ця секція включає також</em> роботи ізоляційні (гідроізоляція, термоізоляція, звукоізоляція), монтаж систем освітлення та сигналізації для доріг, залізниць, аеропортів, портів тощо, а також їх ремонт. <br></br> До робіт із завершення будівництва включають роботи, що сприяють завершенню чи оздобленню будівлі, такі як, скління, оздоблення стелі, фарбування і декоративні роботи, облицювання та покривання підлоги та стін іншими матеріалами, такими як паркет, килимові покриття, шпалери тощо; шліфування підлоги, оздоблювальні столярні роботи, акустичні роботи, чищення фасадів тощо, а також ремонт зазначених елементів. <br></br> До секції включають види діяльності, які інколи вважають переробними, але не класифікують як переробні. Наприклад, виготовлення конструкцій та операції з виготовлення, що виконуються на будівельному об'єкті. <br></br>  <br></br>","<i>Ця секція не включає:

облаштування та обслуговування (утримання) галявин і садів, роботи з догляду за деревами (див. 01.41)  
добування та виробництво будівельних матеріалів (див. секції C і D)  
будівельні роботи, пов'язані з добуванням нафти та природного газу (див. 11.20). При цьому зведення будівель, спорудження доріг тощо на гірничих об'єктах залишається в цій секції.  
монтаж та установлення промислового устатковання, наприклад, монтаж промислових печей, турбін тощо (див. секцію D)  
монтаж цілих збірних будинків або конструкцій з елементів власного виробництва (класифікують у відповідному підкласі секції D залежно від основного матеріалу, що використовується, крім випадків, коли основним матеріалом є бетон, і в яких ця діяльність відноситься до цієї секції)  
монтаж риштовань і столярних виробів власного виробництва (класифікують у відповідному підкласі секції D і, залежно від основного матеріалу, що використовується, наприклад, виготовлення риштовань і столярних виробів – до сфери перероблення деревини (див. 20.30)  
монтаж металевих конструкцій з елементів власного виробництва (див. 28.11)  
організацію будівництва об'єктів нерухомості для продажу чи здавання в оренду (див. 70.11) 
купівлю та продаж власного нерухомого майна (див. 70.12) 
архітектурно-проектні роботи (див. 74.20.1)  
будівельне проектування (див. 74.20.1)  
миття вікон, чищення димоходів, котлів, прибирання внутрішніх приміщень тощо (див. 74.70) 

</i>",
SSSU:CL_NACE_R2_UA(1.1.3),G,"Торгівля;  ремонт автомобілів, побутових виробів та предметів особистого вжитку",,,,G,G,,"<em>Ця секція включає</em> перепродаж (продаж без перероблення) будь-яких товарів і надання послуг, пов'язаних з торгівлею товарами. <br></br>  <br></br>  <em>Ця секція включає також</em> технічне обслуговування та ремонт автомобілів і мотоциклів; установлення і ремонт побутових виробів та предметів особистого вжитку. <br></br> Оптова торгівля – це перепродаж (продаж без перероблення) нових або уживаних товарів роздрібним торговцям, підприємствам та організаціям або іншим оптовикам, яка здійснюється оптовими торговцями, оптовими фірмами зі збуту промислових товарів, оптовими базами, оптовиками-заготівельниками, власниками складів, експортерами, імпортерами, кооперативними організаціями, які займаються заготівлею та збутом сільськогосподарської продукції тощо. <br></br> Класифікація оптової торгівлі (розділ <a>51</a> ) здійснюється за асортиментом товарів. <br></br> У секцію включено діяльність посередників, що зв'язують між собою покупців та продавців або здійснюють торгові операції від імені третіх осіб, у т. ч. через <span>мережу</span>  <span>Інтернет</span> : торгових агентів, комісіонерів, товарних брокерів та інших посередників. Посередників оптової торгівлі класифікують у групі <a>51.1</a> . Посередників роздрібної торгівлі окремо не виділяють і класифікують у відповідному класі роздрібної торгівлі. <br></br> Роздрібна торгівля – це перепродаж (продаж без перероблення) нових або уживаних товарів, призначених переважно для споживання приватними особами чи домашніми господарствами. Роздрібну торгівлю класифікують за місцем торгівлі – торгівля у магазинах, кіосках та з лотків, фірмах посилкової торгівлі, за допомогою рознощиків та вуличних торговців, споживчих кооперативів, аукціонних фірм тощо. Торгівлю у магазинах класифікують також за видами товарів – торгівля новими чи уживаними товарами, продаж у спеціалізованих чи неспеціалізованих магазинах та, якщо у спеціалізованих магазинах, то, крім того, за асортиментом товарів. <br></br> Більшість роздрібних торговців купують товари для продажу у власність, але деякі виступають посередниками основного торговця і продають товар на засадах консигнації чи комісії. <br></br> Торгівельна діяльність включає також здійснення поточних операцій: сортування крупних партій товарів, поділ або перефасування товару меншими партіями, перепакування, фасування та розлив у пляшки (з попереднім миттям пляшок або без нього), зберігання (у т. ч. заморожування та охолодження), очищення та сушіння сільськогосподарських продуктів, розрублення на частини закуплених у забійній вазі м'ясних туш, включаючи відруби, з яких видалені всі кістки, у торгівельній мережі, що здійснюється як допоміжна послуга при їх продажі, складування, змішування фарб на замовлення, змішування вина, сортування відходів, розрізання металу чи дерев'яних панелей за замовленням покупця, модифікацію тої самої продукції, комплектацію та модернізацію комп'ютерів, доставку та установлення товарів за власний рахунок, рекламні акції на користь своїх клієнтів, розроблення етикеток тощо. <br></br>  <br></br>",,
SSSU:CL_NACE_R2_UA(1.1.3),H,Діяльність готелів та ресторанів,,,,H,H,,,,
SSSU:CL_NACE_R2_UA(1.1.3),I,Діяльність транспорту та зв'язку,,,,I,I,,"<em>Ця секція включає:</em>  <ul>
діяльність пасажирського або вантажного залізничного, трубопровідного, автомобільного, водного та повітряного транспорту  
допоміжну діяльність, таку як діяльність терміналів і місць стоянки, транспортне оброблення вантажів, складське господарство  
діяльність пошти та засобів зв'язку  
оренду транспортних засобів з водієм або обслуговуючим персоналом 
</ul>  <em>Ця секція включає також:</em>  <ul>
послуги з організації подорожувань 
</ul>","<i>Ця секція не включає:

капітальний ремонт або переобладнання транспортних засобів, крім автомобілів (див. 35)  
будівництво, технічне обслуговування і ремонт автодоріг, залізниць, портів, аеропортів (див. 45)  
технічне обслуговування та ремонт автомобілів (див. 50.20)  
оренду транспортних засобів без обслуговуючого персоналу (див. 71.1, 71.2)  
рекламу на транспортних засобах (див. 74.40) 

</i>",
SSSU:CL_NACE_R2_UA(1.1.3),J,Фінансова діяльність,,,,J,J,,,,
