Structure URN,ID,Name EN,Name UK,Description EN,Description UK,ID_ORIG,Details,Included Items,Excluded Items,parent
SSSU:CL_NACE_R2_UA(3.2.1),A,"Agriculture, forestry and fishing","Сільське господарство, лісове господарство та рибне господарство",,,A,,"<p><strong><em>Ця секція включає</em></strong> використання рослинних і тваринних природних ресурсів, у т.ч. діяльність з вирощування сільськогосподарських культур, вирощування та розведення сільськогосподарських тварин, одержування лісоматеріалів, лісових та інших рослин, тварин і продукції тваринного походження на фермах або в природному середовищі.</p>",,
SSSU:CL_NACE_R2_UA(3.2.1),B,Mining and quarrying,Добувна промисловість і розроблення кар'єрів,,,B,"Добування корисних копалин і розроблення кар'єрів включає добування мінералів, які зустрічаються в природі у вигляді твердих порід (вугілля та руди), у рідкому (нафта) та газоподібному стані (природний газ). Добування може здійснюватися різними методами, такими як підземне або відкрите розроблення родовищ, експлуатація свердловин, розробленням морського дна тощо. <br></br>  <br></br>","<em>Ця секція включає</em> допоміжні види діяльності, які здійснюють задля підготовки сировини до реалізації: дроблення, розмелювання, очищення, сушіння, сортування, збагачення руд, зрідження природного газу. Ці види діяльності зазвичай здійснюють одиниці, які добувають корисні копалини та/або підприємства, які розташовані біля місця добування корисних копалин. <br></br> Добування корисних копалин класифікують у розділах, групах і класах за видом основної мінеральної сировини, що її добувають. Розділи <a>05</a> та <a>06</a> включають добування паливно-енергетичних корисних копалин (кам'яного вугілля, бурого вугілля, нафти, газу); розділи <a>07</a> та <a>08</a> включають добування металевих руд, інших мінералів і продукції кар'єрів. <br></br> Деякі технічні операції, включені до цієї секції, зокрема добування рідких вуглеводнів, що їх можуть виконувати спеціалізовані одиниці як промислові послуги на користь третіх осіб, відображені у розділі <a>09</a> . <br></br>  <br></br>","<i>Ця секція не включає:

 перероблення видобутих матеріалів, див. секцію C ""Переробна промисловість""  
 використання видобутих матеріалів у будівництві без подальшого їх перероблення, див. секцію F ""Будівництво""  
 розлив у пляшки природних і мінеральних вод із природних джерел і свердловин, див. 11.07 
 дроблення, подрібнення та інші види оброблення ґрунту, гірських порід і мінералів, не пов'язані із добувною промисловістю та розробленням кар'єрів, див. 23.9 

</i>",
SSSU:CL_NACE_R2_UA(3.2.1),C,Manufacturing,Переробна промисловість,,,C,,"<em>Ця секція включає</em> процеси фізичного або хімічного перероблення матеріалів, речовин або компонентів з метою випуску нової продукції, хоча ці процеси не можуть бути застосовані як єдиний універсальний критерій для визначення виду виробництва (див. нижче примітку «Перероблення відходів»). Перероблені матеріали, речовини або компоненти одержують з сировини, такої як продукція сільського, лісового та рибного господарства, добувної промисловості та розроблення кар'єрів, продукція інших галузей переробної промисловості. Суттєве змінювання, відновлення або реконструкція товарів зазвичай вважають діяльністю з перероблення. <br></br> Вироблена продукція може бути кінцевою в розумінні, що вона придатна для використання чи споживання, або напівфабрикатом у розумінні, що вона є вхідним матеріалом для подальшого виробництва. Наприклад, продукція очищення глинозему є вхідним матеріалом, що застосовують для виробництва первинного алюмінію; первинний алюміній є вхідним матеріалом для волочіння алюмінієвого дроту; алюмінієвий дріт є вхідним матеріалом для виробництва метизів. <br></br> Виробництво спеціалізованих компонентів і частин, аксесуарів та приладдя для машин і устатковання, відповідно до загального правила класифікації, відноситься до того ж класу, що й виробництво машин і устатковання, для яких ці частини й аксесуари призначені. Виробництво неспеціалізованих компонентів і запасних частин до машин та устатковання, наприклад, двигунів, поршнів, електричних моторів, електричних пристроїв, клапанів, зубчастих коліс, підшипників, класифікують у відповідних класах секції <a>C</a> „Переробна промисловість” незалежно від того, до яких машин чи устатковання ці елементи можуть бути прилаштовані. Однак виробництво спеціалізованих компонентів і аксесуарів формуванням або штампуванням пластмасових матеріалів відносять до групи <a>22.2</a> . <br></br> Складання комплектуючих частин і деталей у процесі виготовлення продукції розглядають у виробництві. Виробництво включає складання промислової продукції як з компонентів, виготовлених самостійно, так і з придбаних компонентів. <br></br> Відновлення відходів, тобто перероблення відходів у вторинну сировину, класифікують у групі <a>38.3</a> „Відновлення матеріалів”. Хоча цю діяльність можуть здійснювати з використанням процесів фізичного або хімічного перероблення матеріалів, її не вважають частиною переробної промисловості. Головною метою цієї діяльності є перероблення відходів, яке відносять до секції <a>E</a> „Водопостачання; каналізація, поводження з відходами”. Однак виробництво нових готових виробів (на відміну від вторинної сировини) класифікують у виробництві, навіть якщо у процесі їх виготовлення як вхідний матеріал були використані відходи. Наприклад, одержування срібла з відпрацьованої фото- або кіноплівки розглядають як процес виробництва. <br></br> Спеціалізоване технічне обслуговування та ремонт промислових, комерційних та подібних видів машин і устатковання в основному класифіковані у розділі <a>33</a> „Ремонт і монтаж машин і устатковання”. Однак ремонт комп'ютерів, предметів особистого вжитку та побутових виробів класифікують у розділі <a>95</a> „Ремонт комп'ютерів, побутових виробів та предметів особистого вжитку”, у той час як ремонт автотранспортних засобів класифікують у розділі <a>45</a> „Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт”. <br></br> Установлення машин і устатковання, як вузькоспеціалізовану діяльність, класифікують у класі <a>33.20</a> . <br></br> Примітка: межі між переробною промисловістю та іншими видами економічної діяльності можуть бути недостатньо чіткими для їх класифікування. Відповідно до загального правила діяльність у виробничій секції стосується перероблення матеріалів для виробництва продукції. Її кінцевим результатом є якісно нова продукція. Проте визначення того, що являє собою нова продукція, може бути досить суб'єктивним. <br></br> Так, до переробної промисловості у КВЕД та NACE відносять такі види діяльності: <ul>
 перероблення свіжої риби (розкриття устриць, нарізання рибного філе) поза бортом рибальських суден (див. 10.20)  
 пастеризацію та розлив молока в пляшки (див. 10.51)  
 вичинення шкур (див. 15.11)  
 оброблення (консервування) деревини (див. 16.10)  
 друкування та пов'язані з ним види діяльності (див. 18.1)  
 відновлення протекторів шин (див. 22.11)  
 виробництво бетону, готового для використання (крім виробництва бетону будівельними організаціями для власних потреб безпосередньо на будівельному майданчику) (див. 23.63)  
 нанесення гальванічного (електролітичного) покриття, плакування та термічне оброблення металів (див. 25.61)  
 капітальний ремонт і реконструкція машин і устатковання (наприклад, капітальний ремонт двигунів для автотранспортних засобів, див. 29.10)  
</ul> З іншого боку, не класифікують як переробні такі види діяльності: <ul>
 лісозаготівлю, віднесену до секції A „Сільське господарство, лісове господарство та рибне господарство”;  
 підготування сільськогосподарської продукції до первинних ринків, класифіковане у секції A „Сільське господарство, лісове господарство та рибне господарство”;  
 приготування їжі для споживання на місці, класифіковане у розділі 56 „Діяльність із забезпечення стравами та напоями”;  
 збагачення руд та інших мінералів, класифіковане в секції B „Добувна промисловість та розроблення кар'єрів”;  
 зведення конструкцій та будівельні роботи, які виконуються на будівельному майданчику, класифіковані в секції F „Будівництво”;  
 діяльність із поділу та перерозподілу товарів на менші партії, у т.ч. пакування, перепакування або розлив у пляшки алкогольних напоїв або хімікатів; сортування твердих відходів; змішування фарб на замовлення; різання металу на замовлення; віднесені до секції G „Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів”. 
</ul>",,
SSSU:CL_NACE_R2_UA(3.2.1),D,"Electricity, gas, steam and air conditioning supply","Постачання електроенергії, газу, пари та кондиційованого повітря",,,D,,"<em>Ця секція включає</em> діяльність з постачання електроенергії, природного газу, пари, гарячої води тощо засобами постійної інфраструктури – лініями електропередач, мережами кабелів, газопроводів і водопроводів. Розмір мережі не є вирішальним для класифікації одиниці у цій сфері; ця секція також включає розподілення електроенергії, газу, пари, гарячої води тощо як для промислових об'єктів, так і для житлових будівель. <br></br> Ця секція включає функціонування підприємств енергопостачання та газопостачання загального користування, які здійснюють виробництво, контроль і розподілення електроенергії або газу. <br></br>  <br></br>  <em>Ця секція також включає</em> діяльність із забезпечення парою та кондиційованим повітрям. <br></br>  <br></br>","<i>Ця секція не включає діяльність із водопостачання та каналізації (див. 36, 37), транспортування газу магістральними газопроводами (зазвичай на далекі відстані).

</i>",
SSSU:CL_NACE_R2_UA(3.2.1),E,Water supply; sewerage; waste managment and remediation activities,"Водопостачання; каналізація, поводження з відходами",,,E,,"<em>Ця секція включає</em> поводження (у т.ч. збирання, оброблення та розміщення) з будь-якими відходами, такими як тверді або не тверді промислові та побутові відходи, а також розчищення забруднених ділянок. Результатами процесу оброблення відходів і стічних вод може бути їх розміщення або використання як сировини для інших виробничих процесів. Діяльність, пов'язана із водопостачанням також включена до цієї секції. <br></br>  <br></br>",,
SSSU:CL_NACE_R2_UA(3.2.1),F,Construction,Будівництво,,,F,"Ця секція охоплює загальні та спеціалізовані роботи з будівництва будівель і споруд. Ця діяльність включає нове будівництво, ремонтні роботи, розширення та реконструкцію, зведення будівель зі збірних конструкцій на місці ведення робіт, а також будівництво тимчасових об'єктів. <br></br> Загальне будівництво включає будівництво цілісних житлових комплексів, офісних будівель, магазинів та інших громадських і комунальних або сільськогосподарських будівель тощо, інженерних споруд, таких як автомобільні дороги, вулиці, мости, тунелі, залізниці, аеродроми, порти та інші водні об'єкти, іригаційні системи, каналізації, промислові об'єкти, трубопроводи та лінії електропередачі, спортивні комплекси тощо. <br></br> Ці роботи здійснюють як за власний рахунок, так і за винагороду або на основі контракту. Частина робіт, а іноді всі види робіт можуть передаватися субпідряднику. Одиниці, які несуть повну відповідальність за виконання будівельного проекту, також класифікують у цій секції. <br></br> Ця секція  також включає ремонт будівель і земляні роботи. <br></br>  <br></br>","<em>Ця секція включає</em> всі роботи з будівництва будівель (розділ <a>41</a> ), будівництва споруд (розділ <a>42</a> ), а також спеціалізовані будівельні роботи, за умови, що їх виконують як частину загального будівельного процесу (розділ <a>43</a> ). <br></br> Оренду будівельного устатковання з оператором класифікують як специфічний вид будівельних робіт, що їх виконують з використанням цього устатковання. <br></br> До цієї секції також відносять діяльність із розроблення проектів з будівництва будівель і споруд шляхом об'єднання фінансових, технічних та фізичних засобів для їх реалізації з метою подальшої реалізації. Якщо зазначену вище діяльність проводять не з метою подальшого продажу будівель і споруд, а задля їх експлуатації (наприклад, оренди приміщень у цих будівлях, здійснення виробничої діяльності), у цьому разі одиницю класифікують в інших секціях в залежності від виконуваного виду економічної діяльності (операції з нерухомими майном – у секції <a>L</a> , виробництво – у секції <a>C</a> і т.п.). <br></br>  <br></br>",,
SSSU:CL_NACE_R2_UA(3.2.1),G,Wholesale and retail trade; repair of motor vehicles and motorcycles,Оптова та роздрібна торгівля; ремонт автотранспортних засобів і мотоциклів,,,G,,"<em>Ця секція включає</em> оптову та роздрібну торгівлю (тобто продаж без перероблення) будь-якими видами товарів і надання допоміжних послуг, пов'язаних із торгівлею товарами. Оптова та роздрібна торгівля є кінцевим етапом у реалізації (розподіленні, дистрибуції) товарів. У цю секцію також включено ремонт автотранспортних засобів і мотоциклів. <br></br> Продаж без перероблення включає допоміжні операції в торгівлі, такі як сортування, калібрування, збирання (комплектування) товарів, змішування (наприклад, піску), розлив у пляшки (з попереднім миттям пляшок або без їх миття), фасування, поділ та перефасування для продажу меншими партіями, зберігання (у т.ч. заморожування та охолодження). <br></br> Розділ <a>45</a> ""Оптова та роздрібна торгівля автотранспортними засобами та мотоциклами, їх ремонт"" включає всі види діяльності, які пов'язані з торгівлею та ремонтом автотранспортних засобів і мотоциклів, у той час як всі інші види діяльності у сфері торгівлі описані у розділах <a>46</a> ""Оптова торгівля, крім торгівлі автотранспортними засобами та мотоциклами"" і <a>47</a> ""Роздрібна торгівля, крім торгівлі автотранспортними засобами та мотоциклами"". Відмінність між розділами <a>46</a> (оптова торгівля) та <a>47</a> (роздрібна торгівля) базується на типі споживача, що переважає. <br></br> Оптова торгівля – це перепродаж (продаж без перероблення) нових або уживаних товарів роздрібним торговцям, підприємствам й організаціям або іншим оптовикам, діяльність агентів чи посередників з купівлі товарів від імені подібних осіб або продажу товарів подібним особам і компаніям. Основними типами підприємств у сфері оптової торгівлі є оптові торговельні підприємства, тобто оптовики, які отримують право власності на товари, які вони продають, а саме: оптові торговці або біржовики, промислові дистриб'ютори (підприємства оптової торгівлі, що спеціалізуються на продажу промислових товарів), експортери, імпортери, закупівельні організації, філії та офіси з продажу (крім магазинів роздрібної торгівлі), які утримуються підприємствами добувної промисловості (окремо від заводів і шахт) для збуту власної продукції і функції яких не обмежені прийманням замовлень, що виконуються шляхом прямого відвантаження товарів із заводів або шахт. До інших типів підприємств оптової торгівлі відносять торгових посередників і товарних брокерів, комісіонерів, заготівельників і кооперативні організації, які здійснюють збут сільськогосподарської продукції. <br></br> Оптові торговці зазвичай за власний рахунок виконують допоміжні операції, зокрема, збирання (компонування), сортування великих партій товарів, поділ і перефасування товарів меншими партіями (наприклад, фармацевтичних товарів), зберігання, охолодження, доставку й установлення товарів, акції для своїх споживачів, дизайн етикеток тощо. <br></br> Роздрібна торгівля – це перепродаж (продаж без перероблення) нових або уживаних товарів для особистого споживання або домашнього користування переважно населенню в магазинах, торгових центрах, наметах, кіосках, компаніями поштового замовлення, вуличними торговцями, споживчими кооперативами, компаніями, що спеціалізуються на організації аукціонів тощо. Більшість підприємств роздрібної торгівлі отримують право власності на товари, які вони продають, однак деякі з них виступають як агенти та від імені замовника здійснюють продаж товарів на умовах консигнації або комісії. <br></br>  <br></br>",,
SSSU:CL_NACE_R2_UA(3.2.1),H,Transporting and storage,"Транспорт, складське господарство, поштова та кур'єрська діяльність",,,H,,"<em>Ця секція включає</em> забезпечення пасажирських і вантажних перевезень (за розкладом або ні) залізничним, трубопровідним, автомобільним, водним або повітряним транспортом, а також допоміжну діяльність, таку як діяльність терміналів і автостоянок, вантажно-розвантажувальні роботи, зберігання тощо. <br></br>  <br></br>  <em>Ця секція також включає</em> надання в оренду транспортних засобів разом із водієм або екіпажем. Також до секції віднесена поштова та кур'єрська діяльність. <br></br>  <br></br>","<i>Ця секція не включає:

 капітальний ремонт і реконструкцію транспортного устатковання, крім автомобілів, див. група 33.1 
 будівництво, технічне обслуговування і ремонт автомобільних доріг, залізниць, морських портів, злітно-посадкових смуг, див. розділ 42 
 технічне обслуговування, ремонт і реконструкцію автотранспортних засобів, див. 45.20 
 надання в оренду транспортних засобів і устатковання без водія, див. 77.1, 77.3 

</i>",
SSSU:CL_NACE_R2_UA(3.2.1),I,Accommodation and food service activities,Тимчасове розміщування й організація харчування,,,I,,"<em>Ця секція включає</em> надання місць для короткострокового проживання, а також надання готових страв і напоїв для споживання на місці. Обсяг і тип додаткових послуг, що включені до цієї секції, можуть значно варіювати. <br></br>  <br></br>","<i>Ця секція не включає надання послуг довгострокового проживання, що її класифікують у секції L „Операції з нерухомим майном”. Також сюди не включають приготування їжі та напоїв, які або є непридатними для споживання на місці, або продаються в оптовій або роздрібній мережі. Класифікація приготування таких їжі та напоїв наведена в секції C „Переробна промисловість”.

</i>",
SSSU:CL_NACE_R2_UA(3.2.1),J,Information and communication,Інформація та телекомунікації,,,J,,"<em>Ця секція включає</em> виробництво і поширення інформації та культурного продукту, забезпечення способу передавання та поширення цих продуктів, а також даних та інформації, діяльність у сфері інформаційних технологій, оброблення даних та іншу діяльність у сфері інформаційних послуг. <br></br> Основними складовими цієї секції є: видавнича діяльність, яка включає видання програмного забезпечення (розділ <a>58</a> ); виробництво фільмів і видання звукозаписів (розділ <a>59</a> ); діяльність у сфері радіомовлення і телебачення (розділ <a>60</a> ); діяльність у сфері телекомунікації (розділ <a>61</a> ); діяльність у сфері інформаційних технологій (розділ <a>62</a> ) та надання інших інформаційних послуг (розділ <a>63</a> ). <br></br> Видавнича діяльність включає придбання авторських прав на контент (інформаційні продукти) і забезпечення доступу до контенту для широкого загалу шляхом залучення до тиражування (копіювання) та поширення цього контенту в різних формах. До цієї секції включено всі можливі форми видавництва (у друкованій, електронній або аудіоформі, у мережі Інтернет, у вигляді мультимедійних продуктів тощо). <br></br> Діяльність, пов'язана з виробництвом і поширенням телевізійних програм, охоплює розділи <a>59</a> , <a>60</a> і <a>61</a> , в яких описані різні етапи цього процесу. Виробництво кінофільмів, телесеріалів тощо здійснюють у рамках діяльності, яка описана в розділі <a>59</a> . Розділ <a>59</a> також включає виробництво радіо- і телевізійних програм, у той час як трансляцію цих програм, а також новин у прямому ефірі відносять до розділу <a>60</a> . Радіомовлення і трансляцію програм безпосередньо їх виробником також включені до розділу <a>60</a> . Поширення пакетів телепрограм третіми особами без перетворення змісту віднесено до розділу <a>61</a> . Воно може здійснюватися з використанням прямого радіо- і телевізійного мовлення, систем супутникового або проводового зв'язку. <br></br>  <br></br>",,
